               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.023122,            0.043502,            0.010422,             0.67762,             0.77122,             0.76455,             0.52511,            0.037629,            0.088181,             0.02328,              0.0955,              0.0005,              0.0005
                   1,            0.025031,            0.047555,            0.010868,             0.69436,             0.77032,             0.76926,              0.5263,            0.037016,            0.087067,            0.022852,            0.090093,           0.0010927,           0.0010927
                   2,            0.024208,            0.045542,            0.010869,              0.6918,             0.76202,             0.76578,             0.52761,            0.037369,            0.087158,            0.022575,            0.084678,           0.0016776,           0.0016776
                   3,            0.027567,            0.050673,            0.011058,             0.69054,             0.78051,             0.78075,             0.49136,             0.03855,            0.086395,            0.021683,            0.079254,           0.0022545,           0.0022545
                   4,            0.029291,            0.048438,            0.011465,              0.7019,             0.78548,             0.78343,             0.50487,            0.037515,            0.084229,            0.021149,            0.073823,           0.0028234,           0.0028234
                   5,            0.029627,            0.052128,            0.011268,             0.69331,             0.79648,             0.78084,             0.49071,            0.038492,            0.083878,            0.020823,            0.068385,           0.0033845,           0.0033845
                   6,            0.030083,            0.051498,            0.010746,             0.67152,             0.78562,             0.78481,             0.49974,            0.038559,            0.084229,            0.020764,            0.062938,           0.0039376,           0.0039376
                   7,            0.031028,             0.04871,            0.010019,             0.68874,             0.79605,             0.77899,             0.48031,            0.039187,            0.084534,            0.021426,            0.057483,           0.0044829,           0.0044829
                   8,            0.031759,            0.049674,            0.011032,              0.6996,             0.77038,             0.77481,             0.45297,            0.040746,            0.087921,            0.020818,             0.05202,           0.0050202,           0.0050202
                   9,            0.032651,            0.057887,            0.011223,             0.69883,             0.76857,              0.7615,             0.47305,            0.041117,            0.089569,            0.020545,             0.04655,           0.0055495,           0.0055495
                  10,            0.035463,            0.051463,            0.010881,             0.67995,             0.76931,             0.75273,             0.42838,            0.043885,            0.087646,            0.020834,            0.041071,            0.006071,            0.006071
                  11,            0.039067,            0.055702,            0.010718,             0.67963,             0.75674,             0.75964,              0.4232,            0.042947,             0.08316,            0.020235,            0.035585,           0.0065845,           0.0065845
                  12,            0.038755,             0.05598,            0.010972,             0.68585,             0.78619,             0.77213,             0.43702,            0.042673,            0.082077,            0.020641,             0.03009,           0.0070902,           0.0070902
                  13,            0.040157,            0.057157,             0.01145,             0.68922,             0.79736,             0.77766,              0.4406,            0.040523,            0.082764,             0.02039,            0.024588,           0.0075879,           0.0075879
                  14,            0.036426,            0.061096,            0.011948,             0.64819,             0.78742,             0.77483,             0.43275,            0.043028,            0.090286,            0.020807,            0.019078,           0.0080776,           0.0080776
                  15,            0.035777,            0.056054,            0.012121,             0.63417,              0.7873,              0.7689,             0.38852,            0.043257,             0.08786,            0.021581,             0.01356,           0.0085595,           0.0085595
                  16,            0.038905,            0.058373,            0.011955,             0.67378,             0.76684,             0.77516,              0.3798,            0.046231,            0.082138,            0.021127,            0.008944,            0.008944,            0.008944
                  17,             0.03971,            0.055735,             0.01216,             0.68214,             0.77342,             0.74757,             0.34906,            0.049406,            0.080093,            0.020593,            0.008944,            0.008944,            0.008944
                  18,             0.04271,            0.051677,            0.011965,             0.61034,             0.76199,             0.72286,             0.35239,             0.04879,            0.084045,            0.020684,            0.008878,            0.008878,            0.008878
                  19,            0.040179,             0.05803,            0.011654,             0.64826,             0.74788,             0.75985,             0.36668,            0.045906,            0.085175,            0.020241,            0.008812,            0.008812,            0.008812
                  20,            0.039778,            0.060167,            0.012117,             0.66603,             0.75783,              0.7727,             0.42152,            0.044576,            0.080917,            0.020358,            0.008746,            0.008746,            0.008746
                  21,            0.039924,            0.059577,            0.012203,             0.71766,             0.75715,             0.77683,             0.41161,            0.044659,            0.080826,            0.020924,             0.00868,             0.00868,             0.00868
                  22,            0.039331,            0.059835,            0.011992,             0.68911,             0.72526,             0.76246,             0.41436,            0.042823,            0.079895,            0.020652,            0.008614,            0.008614,            0.008614
                  23,            0.035805,            0.057331,            0.011539,             0.66323,             0.75009,             0.77007,             0.43734,            0.042047,            0.082291,            0.021037,            0.008548,            0.008548,            0.008548
                  24,            0.036896,            0.061078,            0.011717,             0.72433,             0.74576,             0.76854,             0.41755,            0.042316,            0.082077,            0.021565,            0.008482,            0.008482,            0.008482
                  25,            0.037285,            0.060143,            0.011575,             0.68816,             0.77331,             0.77519,             0.37053,            0.044983,            0.078842,            0.021592,            0.008416,            0.008416,            0.008416
                  26,            0.039746,            0.059167,             0.01226,             0.72674,             0.73721,             0.79191,             0.45118,            0.039816,            0.076248,            0.020695,             0.00835,             0.00835,             0.00835
                  27,            0.039138,             0.05767,             0.01154,             0.71766,              0.7571,             0.78998,             0.42433,            0.042225,            0.077713,            0.020332,            0.008284,            0.008284,            0.008284
                  28,            0.038443,            0.053936,            0.010807,             0.71783,             0.73308,             0.77629,             0.41439,            0.042452,            0.076172,             0.02054,            0.008218,            0.008218,            0.008218
                  29,            0.039091,            0.053001,            0.011479,             0.71473,             0.73242,             0.77391,             0.40308,             0.04574,            0.078842,            0.020898,            0.008152,            0.008152,            0.008152
                  30,            0.041483,            0.057667,            0.012476,             0.72354,             0.77372,             0.79323,             0.45941,            0.041158,            0.081879,            0.020129,            0.008086,            0.008086,            0.008086
                  31,            0.041012,            0.056773,            0.011836,             0.73856,             0.77617,             0.78817,             0.41985,            0.043168,            0.079971,             0.01999,             0.00802,             0.00802,             0.00802
                  32,            0.038223,             0.05525,            0.012013,             0.72805,             0.77163,             0.78206,              0.4224,            0.043745,            0.077316,            0.020412,            0.007954,            0.007954,            0.007954
